,wikidata,osmid,type
604,Q1952762,10443743,relation
605,Q1954253,225655009,way
606,Q1954345,145633102,way
607,Q1955232,123466729,way
608,Q1957537,24867728,way
609,Q1959693,728722446,way
610,Q1960245,673950500,way
611,Q1963274,149759125,way
612,Q1965232,90541507,way
613,Q1965799,119120317,way
614,Q1966224,314600426,way
615,Q1967516,98115384,way
616,Q1967682,118519434,way
617,Q1969039,169251038,way
618,Q1971725,731912898,way
619,Q1972866,117440816,way
620,Q1973227,149414801,way
621,Q1974655,247310963,way
622,Q1975627,158230794,way
623,Q1976030,169028656,way
624,Q1977870,273493901,way
625,Q1978273,731993405,way
626,Q1978279,117440806,way
627,Q1979824,202339611,way
628,Q1982052,89472028,way
629,Q1984750,130043612,way
630,Q1984815,248705892,way
631,Q1985572,314600424,way
632,Q1986445,244393602,way
633,Q1986829,119608461,way
634,Q1987325,9653300,relation
635,Q1988056,123185625,way
636,Q1989707,245064709,way
637,Q1989990,714890855,way
638,Q1990611,229976410,way
639,Q1991789,198798451,way
640,Q1993406,113606970,way
641,Q1995002,574173902,way
642,Q1995975,111258033,way
643,Q1996226,185607185,way
644,Q1997535,202339596,way
645,Q1997953,39071328,way
646,Q1997953,39071328,way
647,Q1999252,174344846,way
648,Q2000630,239551299,way
649,Q2001548,681877721,way
650,Q2002046,143604581,way
651,Q2002238,193870007,way
652,Q2003271,361611612,way
653,Q2004308,221235618,way
654,Q2005951,140353971,way
655,Q2006447,242737611,way
656,Q2006916,117427009,way
657,Q2006971,116021788,way
658,Q2009169,136148645,way
659,Q2010743,125231684,way
660,Q2011025,225477016,way
661,Q2012284,261122271,way
662,Q2012365,85785584,way
663,Q2012703,242642668,way
664,Q2012909,341052141,way
665,Q2013458,118645291,way
666,Q2014309,791111294,way
667,Q2014422,266909316,way
668,Q2014613,3333186,relation
669,Q2015054,34296641,way
670,Q2015515,198874079,way
671,Q2016364,93127484,way
672,Q2016989,939066603,way
673,Q2017694,191576994,way
674,Q2020003,117380584,way
675,Q2021142,683799326,way
676,Q2021600,117423826,way
677,Q2022253,89247566,way
678,Q2023784,90611903,way
679,Q2024077,230190214,way
680,Q2025813,121053678,way
681,Q2026803,200936785,way
682,Q2026845,118720730,way
683,Q2028540,123961523,way
684,Q2029155,83996840,way
685,Q2030062,48553723,way
686,Q2030448,90546047,way
687,Q2031209,97270109,way
688,Q2031489,117445841,way
689,Q2031543,673508667,way
690,Q2031890,155878168,way
691,Q2032033,139958737,way
692,Q2032821,7557779,relation
693,Q2033188,673976431,way
694,Q2034903,239540380,way
695,Q2034923,8858804,relation
696,Q2035472,54383580,way
697,Q2037298,460515870,way
698,Q2037316,896780316,way
699,Q2038269,25904232,way
700,Q2040499,41441699,way
701,Q2042268,196027652,way
702,Q2042312,731895816,way
703,Q2042384,144500758,way
704,Q2042476,121256912,way
705,Q2043054,81246084,way
706,Q2043492,114010832,way
707,Q2044487,202196055,way
708,Q2044702,121053683,way
709,Q2047465,121806253,way
710,Q2048988,135679213,way
711,Q2049032,83736208,way
712,Q2049414,2387688,relation
713,Q2049904,240122482,way
714,Q2050313,198397003,way
715,Q2050886,122653768,way
716,Q2051727,320632610,way
717,Q2051992,90540293,way
718,Q2053644,654338700,way
719,Q2053664,172025116,way
720,Q2054091,990863019,way
721,Q2055630,123698454,way
722,Q2055849,198874050,way
723,Q2056334,191576976,way
724,Q2058752,939032626,way
725,Q2059142,197824354,way
726,Q2061381,9646434,relation
727,Q2061602,253165561,way
728,Q2062520,218290812,way
729,Q2063430,117596047,way
730,Q2063889,230739414,way
731,Q2064813,576459299,way
732,Q2065290,202461180,way
733,Q2065958,27806002,way
734,Q2066264,116447373,way
735,Q2067666,656582135,way
736,Q2070672,243907368,way
737,Q2070792,200238088,way
738,Q2071647,173919659,way
739,Q2072024,226237416,way
740,Q2072339,198211038,way
741,Q2075034,207896596,way
742,Q2075136,1357936744,node
743,Q2076656,75633055,way
744,Q2076718,90538812,way
745,Q2077297,107974892,way
746,Q2077390,359088493,way
747,Q2078990,60923942,way
748,Q2079043,117596046,way
749,Q2079229,7384370545,node
750,Q2082975,119109489,way
751,Q2084134,148533924,way
752,Q2084608,3316646,relation
753,Q2084729,117260142,way
754,Q2085403,229340238,way
755,Q2085527,6123095,relation
756,Q2086604,125583738,way
757,Q2088039,75910251,way
758,Q2088752,119108515,way
759,Q2089549,146018935,way
760,Q2090317,154730025,way
761,Q2090503,149479231,way
762,Q2091706,174092365,way
763,Q2092300,141730884,way
764,Q2092328,673960408,way
765,Q2092819,121053707,way
766,Q2094374,791096200,way
767,Q2097417,196260278,way
768,Q2099208,681995069,way
769,Q2099335,339573228,way
770,Q2099559,86865423,way
771,Q2100613,121053694,way
772,Q2102490,128675574,way
773,Q2102529,148474529,way
774,Q2103698,86636525,way
775,Q2103865,117447517,way
776,Q2104852,202339619,way
777,Q2105175,8767334,relation
778,Q2105273,129468961,way
779,Q2105963,283809959,way
780,Q2106570,117423270,way
781,Q2107073,230842074,way
782,Q2107917,197062063,way
783,Q2108448,110023248,way
784,Q2108769,15012606,relation
785,Q2109426,58255664,way
786,Q2109780,200028255,way
787,Q2110351,132237988,way
788,Q2111047,234896152,way
789,Q2111883,9647018,relation
790,Q2112652,90540152,way
791,Q2113345,148533917,way
792,Q2114941,4268663,way
793,Q2117924,730920847,way
794,Q2121808,545747869,way
795,Q2122074,117423268,way
796,Q2122268,10988134,relation
797,Q2122809,139958736,way
798,Q2123423,672748288,way
799,Q2123685,359088478,way
800,Q2123788,790906128,way
801,Q2124546,424584946,way
802,Q2125052,136412429,way
803,Q2125983,192619621,way
804,Q2126426,148257642,way
805,Q2126506,191577004,way
806,Q2126778,148353525,way
807,Q2126979,164499369,way
808,Q2127340,90607185,way
809,Q2127412,25892973,way
810,Q2128509,120861842,way
811,Q2128847,117447519,way
812,Q2129341,90545874,way
813,Q2132713,149218100,way
814,Q2134190,10616909,relation
815,Q2134416,9390140,relation
816,Q2134692,194327758,way
817,Q2135155,144000472,way
818,Q2135594,119758006,way
819,Q2135665,119159249,way
820,Q2135937,49782213,way
821,Q2136248,124909027,way
822,Q2136665,123683889,way
823,Q2136882,47247095,way
824,Q2139606,79732651,way
825,Q2139841,36792986,way
826,Q2140160,90542443,way
827,Q2140304,673511952,way
828,Q2140985,129915458,way
829,Q2141805,252376211,way
830,Q2142603,59192842,way
831,Q2145416,154945381,way
832,Q2145903,500661823,way
833,Q2146343,119112286,way
834,Q2147007,117596049,way
835,Q2148037,97816059,way
836,Q2149402,41517009,way
837,Q2149701,202523835,way
838,Q2150819,166616591,way
839,Q2151194,119131781,way
840,Q2152268,4040179,way
841,Q2154531,246992155,way
842,Q2155036,242461934,way
843,Q2159727,160522669,way
844,Q2160139,239285120,way
845,Q2160194,356631677,way
846,Q2160739,283168059,way
847,Q2160987,7269435,relation
848,Q2163374,231714636,way
849,Q2164411,144076064,way
850,Q2164804,122653767,way
851,Q2167127,117442667,way
852,Q2168237,791125560,way
853,Q2168563,147579947,way
854,Q2169157,512582849,way
855,Q2169689,4352757606,node
856,Q2170407,240634258,way
857,Q2170983,119108867,way
858,Q2171274,355254298,way
859,Q2171751,462794607,way
860,Q2172184,245605423,way
861,Q2173420,199494689,way
862,Q2174839,697856375,way
863,Q2176306,437941657,way
864,Q2176309,714890298,way
865,Q2176504,189423797,way
866,Q2177460,176975552,way
867,Q2179436,794463263,way
868,Q2179864,61267144,way
869,Q2180318,3544200,relation
870,Q2180844,198564366,way
871,Q2182621,163694660,way
872,Q2183603,120316400,way
873,Q2184222,365889830,way
874,Q2185004,91142699,way
875,Q2185091,131595228,way
876,Q2185097,194402456,way
877,Q2185124,238213407,way
878,Q2185346,226311527,way
879,Q2185671,195119358,way
880,Q2185920,257532207,way
881,Q2186639,148257658,way
882,Q2186923,936924927,way
883,Q2186982,202461174,way
884,Q2187776,125308866,way
885,Q2188120,3216117,relation
886,Q2188392,120710005,way
887,Q2188586,119131782,way
888,Q2189354,121131904,way
889,Q2189560,90583804,way
890,Q2189948,121131938,way
891,Q2190300,124902103,way
892,Q2190526,87405421,way
893,Q2190686,1780481,relation
894,Q2192900,202461161,way
895,Q2192914,730908704,way
896,Q2192951,231074142,way
897,Q2193016,149320343,way
898,Q2193299,121131909,way
899,Q2193439,167038953,way
900,Q2194018,495735996,way
901,Q2196395,6343330,way
902,Q2196557,5248489,relation
903,Q2197382,245418275,way
904,Q2197815,148533935,way
905,Q2198156,673929934,way
906,Q2198336,113276861,way
907,Q2198355,235929902,way
908,Q2198975,202461195,way
909,Q2198989,319318574,way
910,Q2199408,120908896,way
911,Q2199543,196710093,way
912,Q2200013,93050701,way
913,Q2200087,115519905,way
914,Q2200592,52723843,way
915,Q2201282,247176520,way
916,Q2202417,119084511,way
917,Q2203041,159245936,way
918,Q2203311,113826060,way
919,Q2204757,243976298,way
920,Q2205273,194945657,way
921,Q2206617,149041509,way
922,Q2206991,541175987,way
923,Q2207436,90857133,way
924,Q2208139,150618473,way
925,Q2208624,107060921,way
926,Q2209673,54106966,way
927,Q2209992,97745685,way
928,Q2211063,373624732,way
929,Q2211496,61114872,way
930,Q2211865,116447384,way
931,Q2212430,242731227,way
932,Q2214025,83347081,way
933,Q2214582,79270115,way
934,Q2215299,119131789,way
935,Q2215301,3277247,relation
936,Q2215454,674331861,way
937,Q2215740,119083102,way
938,Q2215970,644298042,way
939,Q2216673,359088501,way
940,Q2216737,183324946,way
941,Q2218176,143006296,way
942,Q2218981,6193095,relation
943,Q2219207,151170604,way
944,Q2219514,380732766,way
945,Q2219582,60517417,way
946,Q2219648,239299369,way
947,Q2219805,143740354,way
948,Q2221597,228721095,way
949,Q2221692,141901475,way
950,Q2222365,225426079,way
951,Q2223427,201374574,way
952,Q2223848,247164289,way
953,Q2223971,91138608,way
954,Q2225817,145187470,way
955,Q2226435,142696396,way
956,Q2227512,244863895,way
957,Q2228095,77836698,way
958,Q2228258,202339584,way
959,Q2228817,200506269,way
960,Q2229998,118514461,way
961,Q2231333,395663395,way
962,Q2231893,97989792,way
963,Q2232864,463419347,way
964,Q2233506,59719854,way
965,Q2234835,117447918,way
966,Q2234935,119109776,way
967,Q2235102,463269396,way
968,Q2235233,153308502,way
969,Q2236160,119579008,way
970,Q2237146,89476777,way
971,Q2238817,90633046,way
972,Q2239149,123525409,way
973,Q2239918,105286461,way
974,Q2241007,89373739,way
975,Q2241498,140353987,way
976,Q2242657,305182100,way
977,Q2243247,199750757,way
978,Q2243410,12239690,relation
979,Q2244061,80312289,way
980,Q2245182,145662374,way
981,Q2246068,121243176,way
982,Q2247624,242994843,way
983,Q2248018,674000536,way
984,Q2248186,674000420,way
985,Q2248812,450073776,way
986,Q2248900,21108926,way
987,Q2249115,25574691,way
988,Q2249486,731888102,way
989,Q2249608,673952269,way
990,Q2249828,122976186,way
991,Q2249904,144903407,way
992,Q2250048,246356532,way
993,Q2250210,626402404,way
994,Q2250425,117441415,way
995,Q2251228,790983089,way
996,Q2251660,44733608,way
997,Q2254329,120561625,way
998,Q2255375,252855046,node
999,Q2255620,172832590,way
1000,Q2257067,140353972,way
1001,Q2257234,790961441,way
1002,Q2257579,241675124,way
1003,Q2258992,172021950,way
1004,Q2259654,90583502,way
